"SKU","UPC CODE","PRODUCT NAME","EXPECTED","COUNTED"
"0101","","Jose Cuervo Gold","0",""
"0107","","Jose Cuervo Silver","0",""
"0108","","Patron Silver","0",""
"0109","","1800 Coconut","0",""
"0110","","1800 Silver","0",""
"0154","","Lunazul","0",""
"0155","","1800 Gold","0",""
"0189","","Don Julio Blanco","0",""
"0192","","Patron Reposado","0",""
"0193","","Patron Anejo","0",""
"0194","","Patron Extra Anejo","0",""
"0264","","Casamigo Blanco","0",""
"0302","","818 Tequila","0",""
"0303","","Cabo Wabo Tequila","0",""
"0304","","Don Julio Reposado","0",""
"0305","","Don Julio Anejo","0",""
"0325","","Avion","0",""
"0333","","Casamigos Reposado","0",""
"0391","","Teremana","0",""
